PDBchain   len  method   resol   rfac  freerfac
4N5QA      257  XRAY     1.946  0.171  0.201
6GBSA      348  XRAY     1.946  0.184  0.216
4S3IA      384  XRAY     1.946  0.216   0.25
7CT1A      286  XRAY     1.947  0.174  0.222
6A0EA      318  XRAY     1.947  0.177  0.224
7D6LA      148  XRAY     1.947  0.195  0.227
4WVRA      102  XRAY     1.948  0.184  0.223
3H6RA      152  XRAY     1.948  0.196  0.241
5DMUA      301  XRAY     1.949   0.15  0.195
4GBFA      400  XRAY     1.949  0.163  0.199
4RZYA      447  XRAY     1.949  0.164  0.188
4S2RP      639  XRAY     1.949  0.166  0.214
5Z1NA      168  XRAY     1.949  0.185   0.23
4R9OA      301  XRAY     1.949  0.188  0.228
5VACA      229  XRAY     1.949  0.191  0.228
5KECA      237  XRAY     1.949  0.205  0.243
5I4AA      642  XRAY     1.949  0.216  0.239
6CZFA      498  XRAY     1.949  0.217  0.241
5NDYA      256  XRAY     1.949   0.22  0.262
3RQZA      246  XRAY      1.95  0.125   0.15
3RR1A      405  XRAY      1.95  0.137  0.174
6OMEA      508  XRAY      1.95  0.144  0.171
3OTNA      482  XRAY      1.95  0.146  0.191
3IIIA      560  XRAY      1.95  0.147  0.183
4MEAA      331  XRAY      1.95  0.148  0.186
3KK4A      125  XRAY      1.95  0.148  0.199
3R9MA      376  XRAY      1.95  0.149  0.167
6NOZA      248  XRAY      1.95  0.149  0.193
3R6OA      329  XRAY      1.95  0.152  0.185
6P61A      228  XRAY      1.95  0.152  0.183
2XBKA      404  XRAY      1.95  0.153  0.214
5D8MA      347  XRAY      1.95  0.153   0.19
4KCTA      499  XRAY      1.95  0.154  0.183
4MZYA      494  XRAY      1.95  0.155  0.186
6C62A      457  XRAY      1.95  0.155  0.191
6C62C       68  XRAY      1.95  0.155  0.191
4XX6A      321  XRAY      1.95  0.156  0.204
7CWIA      815  XRAY      1.95  0.157  0.187
5TS9A      173  XRAY      1.95  0.157  0.206
3K2VA      149  XRAY      1.95  0.157  0.182
4P04A      571  XRAY      1.95  0.158  0.167
3RTAA      502  XRAY      1.95  0.158  0.192
6NBOA      402  XRAY      1.95  0.158  0.178
4XKZA      269  XRAY      1.95  0.158  0.193
6J3GA      265  XRAY      1.95  0.159  0.202
3ILNA      251  XRAY      1.95  0.159   0.19
3RMJA      370  XRAY      1.95   0.16  0.191
5TXUA      354  XRAY      1.95   0.16  0.184
7A6GA      328  XRAY      1.95   0.16  0.223
4WYHA      129  XRAY      1.95   0.16   0.18
2CJGA      449  XRAY      1.95  0.161  0.186
4MOWA      256  XRAY      1.95  0.161  0.198
3T7CA      299  XRAY      1.95  0.162  0.195
3FBLA       82  XRAY      1.95  0.162  0.196
3ZX1A      481  XRAY      1.95  0.163  0.207
1YB1A      272  XRAY      1.95  0.163  0.192
6W04A      231  XRAY      1.95  0.163  0.211
1XHNA      184  XRAY      1.95  0.163  0.213
1O4TA      133  XRAY      1.95  0.163  0.217
6HWRA      426  XRAY      1.95  0.164  0.199
5DEQA      228  XRAY      1.95  0.164   0.22
2ZF9A      194  XRAY      1.95  0.164  0.211
4GDZA      175  XRAY      1.95  0.164  0.184
3JX9A      170  XRAY      1.95  0.164  0.188
2B9WA      424  XRAY      1.95  0.165   0.19
6JKUA      395  XRAY      1.95  0.165    0.2
3SOCA      322  XRAY      1.95  0.165  0.211
6KMEA      318  XRAY      1.95  0.165  0.206
4HB7A      270  XRAY      1.95  0.165  0.206
3O38A      266  XRAY      1.95  0.165  0.215
1N1FA      159  XRAY      1.95  0.165  0.243
3UCGA       89  XRAY      1.95  0.165   0.21
5H06A      640  XRAY      1.95  0.166  0.212
7DSPA      383  XRAY      1.95  0.166  0.208
3RD7A      286  XRAY      1.95  0.166  0.198
3R1IA      276  XRAY      1.95  0.166  0.197
4HXTA      252  XRAY      1.95  0.166   0.19
3T41A      471  XRAY      1.95  0.167  0.195
4NUUA      317  XRAY      1.95  0.167  0.202
4QRKA      220  XRAY      1.95  0.167  0.206
3C8UA      208  XRAY      1.95  0.167  0.218
4O3VA      181  XRAY      1.95  0.167  0.189
2XDGA       92  XRAY      1.95  0.167  0.223
6MS3A      538  XRAY      1.95  0.168  0.201
5XSWA      486  XRAY      1.95  0.168  0.196
2Q4OA      215  XRAY      1.95  0.168  0.224
6RSWC      172  XRAY      1.95  0.168  0.194
3HTYA       94  XRAY      1.95  0.168  0.206
7DS2C       41  XRAY      1.95  0.168  0.183
3NG7X      431  XRAY      1.95  0.169  0.204
7L6SA      423  XRAY      1.95  0.169  0.196
5UTHA      319  XRAY      1.95  0.169  0.202
2PFYA      301  XRAY      1.95  0.169  0.201
3Q13A      258  XRAY      1.95  0.169   0.21
3JS4A      227  XRAY      1.95  0.169  0.206
3MALA      199  XRAY      1.95  0.169  0.213
6QUBA      885  XRAY      1.95   0.17  0.215
4JBEA      445  XRAY      1.95   0.17  0.208
2YILA      138  XRAY      1.95   0.17  0.197
6BN0A       79  XRAY      1.95   0.17  0.214
7NX0A       79  XRAY      1.95   0.17  0.196
5U47A      707  XRAY      1.95  0.171   0.21
2J07A      420  XRAY      1.95  0.171  0.212
3O72A      396  XRAY      1.95  0.171  0.206
4OJMX      392  XRAY      1.95  0.171  0.211
3FZYA      234  XRAY      1.95  0.171  0.216
3EJKA      174  XRAY      1.95  0.171  0.217
5BUKA      450  XRAY      1.95  0.172  0.212
2I2WA      212  XRAY      1.95  0.172  0.219
4XR9A      456  XRAY      1.95  0.173  0.205
4H2WA      346  XRAY      1.95  0.173  0.196
2QE6A      274  XRAY      1.95  0.173  0.213
2YG9A      225  XRAY      1.95  0.173  0.231
4CO9A      211  XRAY      1.95  0.173  0.207
3V6OA      206  XRAY      1.95  0.173  0.213
4EUKA      153  XRAY      1.95  0.173  0.197
4H2WC      103  XRAY      1.95  0.173  0.196
4C4KO       98  XRAY      1.95  0.173   0.21
3D3YA      425  XRAY      1.95  0.174  0.213
4ED9A      385  XRAY      1.95  0.174  0.217
3E3XA      332  XRAY      1.95  0.174  0.223
2REEA      224  XRAY      1.95  0.174  0.211
3K69A      162  XRAY      1.95  0.174  0.218
4BHXA       94  XRAY      1.95  0.174  0.224
4GOTA      249  XRAY      1.95  0.175  0.229
4O4OA      207  XRAY      1.95  0.175  0.214
3EYTA      158  XRAY      1.95  0.175   0.21
6F1DA      117  XRAY      1.95  0.175  0.202
3ZQ5A      520  XRAY      1.95  0.176  0.218
1VL4A      447  XRAY      1.95  0.176  0.221
1HLEA      345  XRAY      1.95  0.176  NA   
5T5QA      247  XRAY      1.95  0.176  0.219
2VLIA      183  XRAY      1.95  0.176  0.214
3UL4A      157  XRAY      1.95  0.176  0.206
4USOA      153  XRAY      1.95  0.176  0.204
3UL4B       65  XRAY      1.95  0.176  0.206
5X7QA     1263  XRAY      1.95  0.177  0.205
4L6WA      493  XRAY      1.95  0.177  0.244
2BO4A      397  XRAY      1.95  0.177  0.192
3ZGJA      371  XRAY      1.95  0.177  0.215
5IUFA      333  XRAY      1.95  0.177  0.216
4NHEA      328  XRAY      1.95  0.177  0.207
1Z7XW      461  XRAY      1.95  0.178  0.236
6HOXA      446  XRAY      1.95  0.178  0.209
5I7WA      363  XRAY      1.95  0.178  0.215
5J92A      309  XRAY      1.95  0.178  0.215
2II1A      301  XRAY      1.95  0.178  0.228
1U00A      227  XRAY      1.95  0.178   0.21
4RPOA      223  XRAY      1.95  0.178  0.209
1Q40B      219  XRAY      1.95  0.178  0.219
1SVIA      195  XRAY      1.95  0.178  0.222
4B6IA      102  XRAY      1.95  0.178  0.229
3IGHX      486  XRAY      1.95  0.179  0.212
6L8AA      470  XRAY      1.95  0.179  0.219
6XL1A      382  XRAY      1.95  0.179  0.202
6EXFA      372  XRAY      1.95  0.179  0.213
3EJXA      317  XRAY      1.95  0.179  0.208
6Y1XA      309  XRAY      1.95  0.179  0.212
5WHMA      267  XRAY      1.95  0.179  0.212
1VL5A      260  XRAY      1.95  0.179  0.209
6NIEA      255  XRAY      1.95  0.179  0.216
4R5ZA      367  XRAY      1.95   0.18  0.203
5WQ3A      264  XRAY      1.95   0.18  0.227
5LJ8A      209  XRAY      1.95   0.18  0.228
4L3UA      139  XRAY      1.95   0.18  0.205
3EEHA      125  XRAY      1.95   0.18  0.201
4BL0B       75  XRAY      1.95   0.18  0.192
4R12A      593  XRAY      1.95  0.181  0.205
2O1BA      404  XRAY      1.95  0.181  0.226
3CJNA      162  XRAY      1.95  0.181  0.223
5EE2A      159  XRAY      1.95  0.181   0.23
4EM8A      148  XRAY      1.95  0.181   0.22
2F2HA      773  XRAY      1.95  0.182  0.225
4XEAA      423  XRAY      1.95  0.182  0.214
4I4CA      415  XRAY      1.95  0.182  0.227
4GDIA      373  XRAY      1.95  0.182  0.223
1PN2A      280  XRAY      1.95  0.182  0.214
4D7WA      208  XRAY      1.95  0.182  0.223
6DXNA      192  XRAY      1.95  0.182   0.23
1Y12A      165  XRAY      1.95  0.182  0.227
2HANB      119  XRAY      1.95  0.182  0.217
4IE5A      495  XRAY      1.95  0.183  0.203
1G5HA      454  XRAY      1.95  0.183  0.224
3TM4A      373  XRAY      1.95  0.183  0.196
4Q6UA      353  XRAY      1.95  0.183  0.218
3BQYA      209  XRAY      1.95  0.183   0.21
6MGHA      163  XRAY      1.95  0.183  0.239
2HQ9A      149  XRAY      1.95  0.183  0.243
5VMRC       43  XRAY      1.95  0.183  0.206
2Z3ZA      706  XRAY      1.95  0.184  0.212
4YN3A      621  XRAY      1.95  0.184  0.222
3KHIA      267  XRAY      1.95  0.184  0.213
4MXNA      247  XRAY      1.95  0.184  0.213
6QIOD      191  XRAY      1.95  0.184  0.226
4YN3B       96  XRAY      1.95  0.184  0.222
3U52A      511  XRAY      1.95  0.185  0.228
1ZZGA      415  XRAY      1.95  0.185  0.193
3U52C      333  XRAY      1.95  0.185  0.228
4YZ6A      195  XRAY      1.95  0.185  0.217
4X8YA      132  XRAY      1.95  0.185  0.212
3U52E      119  XRAY      1.95  0.185  0.228
3O2EA      105  XRAY      1.95  0.185  0.241
3HRLA      104  XRAY      1.95  0.185  0.226
1UWVA      433  XRAY      1.95  0.186  0.227
4LMPA      371  XRAY      1.95  0.186  0.227
2UW1A      338  XRAY      1.95  0.186  0.229
5ZM4A      306  XRAY      1.95  0.186  0.224
3OCRA      273  XRAY      1.95  0.186   0.24
2HSBA      126  XRAY      1.95  0.186   0.21
6SWXA      564  XRAY      1.95  0.187  0.214
6XN8A      552  XRAY      1.95  0.187  0.212
6NFXA      470  XRAY      1.95  0.187  0.221
2WB0X      356  XRAY      1.95  0.187  0.245
3EZUA      342  XRAY      1.95  0.187  0.232
2P35A      259  XRAY      1.95  0.187  0.214
4ROJA      117  XRAY      1.95  0.187  0.219
6ZMUA      109  XRAY      1.95  0.187   0.22
1PUCA      105  XRAY      1.95  0.187  0.241
2P5MA       83  XRAY      1.95  0.187  0.224
1QHDA      398  XRAY      1.95  0.188   0.22
5GN1A      366  XRAY      1.95  0.188  0.216
3E18A      359  XRAY      1.95  0.188  0.237
6GWJK      335  XRAY      1.95  0.188  0.217
1BSLA      324  XRAY      1.95  0.188  NA   
3HL1A      317  XRAY      1.95  0.188  0.232
6GWJB      143  XRAY      1.95  0.188  0.217
6GWJD      106  XRAY      1.95  0.188  0.217
4YZKA      399  XRAY      1.95  0.189  0.232
4YV9A      284  XRAY      1.95  0.189  0.213
1M3SA      186  XRAY      1.95  0.189  0.225
7AEXA      275  XRAY      1.95   0.19  0.235
4QLXA      219  XRAY      1.95   0.19   0.23
1Y1XA      191  XRAY      1.95   0.19  0.233
4XPLA      163  XRAY      1.95   0.19  0.229
2GUFA      594  XRAY      1.95  0.191  0.225
5ORQA      364  XRAY      1.95  0.191  0.228
5NQVA      210  XRAY      1.95  0.191  0.219
4B8NA       91  XRAY      1.95  0.191  0.254
3CSKA      711  XRAY      1.95  0.192  0.228
6VG3A      296  XRAY      1.95  0.192  0.244
4PP8C      174  XRAY      1.95  0.192  0.217
2RH0A      157  XRAY      1.95  0.192  0.235
2WNYA      141  XRAY      1.95  0.192  0.247
1KLXA      138  XRAY      1.95  0.192  0.238
2P6HA      134  XRAY      1.95  0.192  0.203
4PP8A      125  XRAY      1.95  0.192  0.217
3SZSA       46  XRAY      1.95  0.192  0.221
6PSMA      469  XRAY      1.95  0.193  0.212
7MEQA      395  XRAY      1.95  0.193  0.225
3TZ6A      344  XRAY      1.95  0.193  0.211
3IPWA      325  XRAY      1.95  0.193  0.241
7BPRA      209  XRAY      1.95  0.193  0.234
3BQHA      193  XRAY      1.95  0.193  0.218
5JBSA      142  XRAY      1.95  0.193  0.241
3PG1A      362  XRAY      1.95  0.194  0.224
3JS6A      355  XRAY      1.95  0.194  0.245
4K3ZA      331  XRAY      1.95  0.194  0.226
5BOPB      217  XRAY      1.95  0.194  0.229
3JYGA      188  XRAY      1.95  0.194  0.233
1IZMA      184  XRAY      1.95  0.194  0.255
4KUNA       91  XRAY      1.95  0.194  0.247
5C8GA      136  XRAY      1.95  0.195   0.24
3V4DA      134  XRAY      1.95  0.195  0.217
1BEAA      127  XRAY      1.95  0.195  0.287
1LJOA       77  XRAY      1.95  0.195  0.211
2UUUA      584  XRAY      1.95  0.196  0.244
2PGWA      384  XRAY      1.95  0.196  0.215
3HGUA      369  XRAY      1.95  0.196  0.249
5JD5A      321  XRAY      1.95  0.196  0.237
5HXQA      233  XRAY      1.95  0.196  0.241
4J1VA      184  XRAY      1.95  0.196  0.225
5N07A      161  XRAY      1.95  0.196  0.227
7F2RB       85  XRAY      1.95  0.196  0.241
4ATHA       83  XRAY      1.95  0.196  0.228
1M1ZA      513  XRAY      1.95  0.197  0.231
6PEUA      385  XRAY      1.95  0.197  0.237
1J5WA      298  XRAY      1.95  0.197  0.254
5EDLA      197  XRAY      1.95  0.197  0.217
2PN2A      155  XRAY      1.95  0.197  0.242
2OUWA      138  XRAY      1.95  0.197  0.232
6VTJA      491  XRAY      1.95  0.198  0.239
4B2ZA      448  XRAY      1.95  0.198  0.236
5GJ7A      398  XRAY      1.95  0.198  0.224
3VPDA      281  XRAY      1.95  0.198  0.238
5TCKA      157  XRAY      1.95  0.198  0.238
1OGDA      131  XRAY      1.95  0.198  0.211
7KGCA      124  XRAY      1.95  0.198  0.241
3WITA       82  XRAY      1.95  0.198  0.233
5LQDA      465  XRAY      1.95  0.199  0.238
3OKGA      412  XRAY      1.95  0.199   0.24
3HTVA      310  XRAY      1.95  0.199  0.241
4QFEA      259  XRAY      1.95  0.199  0.223
3OL3A      107  XRAY      1.95  0.199  0.236
3L7HA       97  XRAY      1.95  0.199  0.254
3LXQA      450  XRAY      1.95    0.2  0.237
2GH9A      386  XRAY      1.95    0.2  0.254
1NU5A      370  XRAY      1.95    0.2  0.231
4MF9A      360  XRAY      1.95    0.2  0.234
1GVNB      287  XRAY      1.95    0.2  0.237
1Q7FA      286  XRAY      1.95    0.2  0.252
4EV1A      252  XRAY      1.95    0.2  0.249
3UULA      118  XRAY      1.95    0.2  0.235
1GVNA       90  XRAY      1.95    0.2  0.237
5MYPA      546  XRAY      1.95  0.201  0.223
5NV9A      496  XRAY      1.95  0.201  0.243
3C6KA      381  XRAY      1.95  0.201  0.257
3UBKA      242  XRAY      1.95  0.201  0.232
3TEEA      219  XRAY      1.95  0.201  0.218
2QG3A      208  XRAY      1.95  0.201  0.253
4DEYB      106  XRAY      1.95  0.201  0.229
2O36A      674  XRAY      1.95  0.202  0.238
4LJYA      493  XRAY      1.95  0.202  0.226
5ZUUA      180  XRAY      1.95  0.202  0.256
3FV6A      159  XRAY      1.95  0.202  0.272
3C8IA      141  XRAY      1.95  0.202  0.232
6S2WA      109  XRAY      1.95  0.202  0.232
2OD0A      105  XRAY      1.95  0.202  0.245
2EF8A       84  XRAY      1.95  0.202  0.257
5YAGA      217  XRAY      1.95  0.203  0.252
2Q8PA      260  XRAY      1.95  0.204  0.263
5IJJA      192  XRAY      1.95  0.204  0.251
3KHEA      191  XRAY      1.95  0.204  0.277
4RUDA       58  XRAY      1.95  0.204  0.237
3LRKA      479  XRAY      1.95  0.205  0.234
3OYZA      433  XRAY      1.95  0.205  0.239
1O75A      415  XRAY      1.95  0.205  0.228
1P77A      272  XRAY      1.95  0.205  0.244
1UW4B      248  XRAY      1.95  0.205  0.227
2J4XA      213  XRAY      1.95  0.205  0.201
1TU1A      148  XRAY      1.95  0.205  0.237
2O4TA      100  XRAY      1.95  0.205  0.255
1UW4A       91  XRAY      1.95  0.205  0.227
2Y2ZA      267  XRAY      1.95  0.206  0.234
1XLYA      234  XRAY      1.95  0.206  0.241
6Z2LA      197  XRAY      1.95  0.206  0.226
5D23A      102  XRAY      1.95  0.206  0.232
5GVVA      406  XRAY      1.95  0.207  0.257
1RQJA      299  XRAY      1.95  0.207  0.239
3SC0A      241  XRAY      1.95  0.207  0.244
4RGBA      294  XRAY      1.95  0.208  0.241
3IDVA      241  XRAY      1.95  0.208  0.246
4PGRA      217  XRAY      1.95  0.208  0.234
1VI6A      208  XRAY      1.95  0.208  0.243
4I3MA      175  XRAY      1.95  0.208  0.259
2PV4A      145  XRAY      1.95  0.208   0.25
4H9NC      212  XRAY      1.95  0.209  0.209
2VFXA      206  XRAY      1.95  0.209  0.247
3ANPA      204  XRAY      1.95  0.209  0.244
2HJVA      163  XRAY      1.95  0.209  0.247
1IHBA      162  XRAY      1.95  0.209  0.289
2RI9A      475  XRAY      1.95   0.21   0.26
7NS5A      354  XRAY      1.95   0.21  0.242
3D4IA      273  XRAY      1.95   0.21  0.248
6YUQA      255  XRAY      1.95   0.21  0.221
3LNCA      231  XRAY      1.95   0.21  0.244
1RKTA      205  XRAY      1.95   0.21  0.254
2WV3A      190  XRAY      1.95   0.21  0.249
5Z8OA      147  XRAY      1.95   0.21  0.236
6QEKA       79  XRAY      1.95   0.21  0.272
2RHKC       72  XRAY      1.95   0.21  0.234
3CWVA      369  XRAY      1.95  0.211  0.247
1GR0A      367  XRAY      1.95  0.211  0.239
1MX3A      347  XRAY      1.95  0.211  0.253
3M4IA      242  XRAY      1.95  0.211   0.23
4TQ2A      189  XRAY      1.95  0.211  0.245
5OLMA      132  XRAY      1.95  0.211  0.262
2NZCA       86  XRAY      1.95  0.211  0.259
6GUAA      822  XRAY      1.95  0.212  0.261
4NA1A      637  XRAY      1.95  0.212   0.24
1GPJA      404  XRAY      1.95  0.212  0.262
6RNQA      252  XRAY      1.95  0.212  0.235
3KG4A      235  XRAY      1.95  0.212  0.242
1L3IA      192  XRAY      1.95  0.212  0.257
3PR9A      157  XRAY      1.95  0.212  0.269
6DS6A       57  XRAY      1.95  0.212  0.253
1YVRA      538  XRAY      1.95  0.213  0.257
3HJHA      483  XRAY      1.95  0.213  0.257
1ZU4A      320  XRAY      1.95  0.213  0.264
2O34A      250  XRAY      1.95  0.213  0.273
1UM0A      365  XRAY      1.95  0.214  0.243
1T7VA      278  XRAY      1.95  0.214  0.249
2EAYA      233  XRAY      1.95  0.214  0.247
1NFVA      179  XRAY      1.95  0.214  0.254
3IS6A      244  XRAY      1.95  0.215  0.259
5M9NA      220  XRAY      1.95  0.215   0.26
5ITGA      484  XRAY      1.95  0.216  0.253
5FGWA      262  XRAY      1.95  0.216   0.26
5UH0A      243  XRAY      1.95  0.216  0.267
3ZMDA      178  XRAY      1.95  0.216  0.243
1Y71A      130  XRAY      1.95  0.216  0.265
6Z2GA       99  XRAY      1.95  0.216  0.221
3BS9A       87  XRAY      1.95  0.216  0.245
4H0KA       86  XRAY      1.95  0.216  0.268
3K8GA      262  XRAY      1.95  0.217  0.254
4E5XG      100  XRAY      1.95  0.217  0.241
4AQRD       57  XRAY      1.95  0.217  0.247
7KN8A      715  XRAY      1.95  0.218  0.252
2J5CA      569  XRAY      1.95  0.218  0.235
3QANA      538  XRAY      1.95  0.218   0.28
1H7SA      365  XRAY      1.95  0.218  0.243
2D4UA      176  XRAY      1.95  0.218  0.259
2HRVA      142  XRAY      1.95  0.218   0.25
2FJRA      189  XRAY      1.95  0.219  0.247
2QXYA      142  XRAY      1.95  0.219   0.24
6Z4UA       97  XRAY      1.95  0.219  0.257
4MR0A      648  XRAY      1.95   0.22  0.222
1B12A      248  XRAY      1.95   0.22  0.246
6NGGA      119  XRAY      1.95   0.22   0.27
7A0JAAA    312  XRAY      1.95  0.221  0.239
6PD2A      624  XRAY      1.95  0.222  0.254
3MYUA      344  XRAY      1.95  0.222  0.255
4GEHA      207  XRAY      1.95  0.222  0.253
2PKHA      148  XRAY      1.95  0.222  0.277
4GEHB       91  XRAY      1.95  0.222  0.253
2HI4A      495  XRAY      1.95  0.223  0.267
4QYIA      186  XRAY      1.95  0.223  0.252
1ZB1A      392  XRAY      1.95  0.224  0.252
1ZY4A      303  XRAY      1.95  0.224  0.252
2XEDA      273  XRAY      1.95  0.224   0.26
4W4KB      174  XRAY      1.95  0.224  0.263
2OX9A      140  XRAY      1.95  0.224  0.273
3K6GA      111  XRAY      1.95  0.224  0.236
4W4KA      107  XRAY      1.95  0.224  0.263
3K6GD       42  XRAY      1.95  0.224  0.236
2RA8A      362  XRAY      1.95  0.225  0.247
1SA3A      262  XRAY      1.95  0.225  0.252
1TXOA      237  XRAY      1.95  0.225   0.23
4OTMA      141  XRAY      1.95  0.225  0.275
1KO7A      314  XRAY      1.95  0.226  0.246
5FR7A      163  XRAY      1.95  0.226  0.269
1KHYA      148  XRAY      1.95  0.226  0.259
4P1MA      123  XRAY      1.95  0.226   0.27
2VDFA      253  XRAY      1.95  0.227  0.272
5DTHA      111  XRAY      1.95  0.227  0.265
2G5DA      422  XRAY      1.95  0.228  0.273
3I2NA      357  XRAY      1.95  0.228  0.264
3O0GD      149  XRAY      1.95  0.228  0.256
1OPCA      110  XRAY      1.95  0.228  0.269
2GPTA      523  XRAY      1.95  0.229  0.256
1G8LA      411  XRAY      1.95   0.23  0.284
2APOA      357  XRAY      1.95   0.23   0.23
6GRFA      242  XRAY      1.95   0.23  0.262
1T6SA      162  XRAY      1.95   0.23  0.253
2APOB       60  XRAY      1.95   0.23   0.23
3EVYA      239  XRAY      1.95  0.231  0.274
1OWFA       99  XRAY      1.95  0.232  0.273
1OWFB       94  XRAY      1.95  0.232  0.273
6VYEA      271  XRAY      1.95  0.233   0.27
1M1HA      248  XRAY      1.95  0.234  0.259
3C9IA      242  XRAY      1.95  0.234  0.269
2D0IA      333  XRAY      1.95  0.235  0.265
1NLFA      279  XRAY      1.95  0.236  0.242
1ITVA      195  XRAY      1.95  0.236  0.275
3IX9A      190  XRAY      1.95  0.237  0.274
5U96A       52  XRAY      1.95  0.238  0.238
3P8AA      274  XRAY      1.95   0.24   0.27
3MTIA      185  XRAY      1.95   0.24  0.272
6EBQA      160  XRAY      1.95   0.24  0.269
5XV0A      240  XRAY      1.95  0.244  0.289
1I39A      225  XRAY      1.95  0.244  0.269
6N6RB       70  XRAY      1.95  0.245  0.278
3BZMA      431  XRAY      1.95  0.248  0.308
4FFJA      210  XRAY      1.95  0.248  0.244
3HUUA      305  XRAY      1.95   0.25  0.274
5BU6A      277  XRAY     1.951  0.171  0.208
6C8RA      379  XRAY     1.951  0.177  0.219
4OE6A      580  XRAY     1.951  0.178  0.202
4C5EA      451  XRAY     1.951  0.179  0.198
4MIKA      289  XRAY     1.951  0.185   0.23
4IV9A      557  XRAY     1.951   0.19  0.245
6KA3A      160  XRAY     1.951  0.192  0.235
4LE1A      139  XRAY     1.951  0.193  0.217
3EDVA      323  XRAY     1.951  0.195   0.25
5XGAA      125  XRAY     1.951  0.198  0.241
3SHSA      304  XRAY     1.951  0.223  0.267
4E5SA      331  XRAY     1.952   0.16  0.202
4XRTA      329  XRAY     1.952  0.179  0.209
4YJMA      103  XRAY     1.952  0.179  0.209
6K8CA      402  XRAY     1.952  0.186  0.219
4N0HA      464  XRAY     1.952   0.19  0.222
4N0HB      325  XRAY     1.952   0.19  0.222
4N0HF      160  XRAY     1.952   0.19  0.222
7AHWAAA    179  XRAY     1.952  0.195   0.22
4KRDB      207  XRAY     1.952  0.202  0.241
5GN2A      272  XRAY     1.952  0.246   0.29
5Y9QA      198  XRAY     1.953  0.179   0.22
6J66A      521  XRAY     1.953  0.182  0.214
4Q63A      105  XRAY     1.953  0.185  0.221
4HKMA      346  XRAY     1.953  0.189  0.227
4MJKA      265  XRAY     1.953  0.196  0.216
6IRPA      138  XRAY     1.954  0.208  0.231
4WT3A      213  XRAY     1.954  0.213  0.246
4HTIA       99  XRAY     1.954  0.222  0.243
4WZ0A      109  XRAY     1.954  0.238  0.278
5C2ZA      255  XRAY     1.955  0.181  0.253
2XQ0A      632  XRAY     1.955  0.191  0.247
3WVQA      447  XRAY     1.955  0.196  0.231
5J9CA      175  XRAY     1.956  0.154   0.19
4I0XB      103  XRAY     1.956  0.165  0.213
4I0XA       94  XRAY     1.956  0.165  0.213
3UOXA      545  XRAY     1.956  0.192   0.23
3LWTX      505  XRAY     1.956  0.201  0.243
4NGDA      302  XRAY     1.958  0.178  0.204
4C76A      204  XRAY      1.96  0.148  0.193
5M99A      506  XRAY      1.96  0.152  0.184
3C9PA      123  XRAY      1.96  0.165   0.21
3ON2A      199  XRAY      1.96   0.17  0.222
3P7XA      166  XRAY      1.96   0.17  0.206
6M3FB      249  XRAY      1.96  0.171  0.219
6HF7A      192  XRAY      1.96  0.172   0.19
6GL2A      337  XRAY      1.96  0.173  0.201
3DEFA      262  XRAY      1.96  0.173  0.213
3LT0A      329  XRAY      1.96  0.174  0.205
5Y3CA       85  XRAY      1.96  0.174  0.216
6EGKA      351  XRAY      1.96  0.175  0.205
5HUXA      436  XRAY      1.96  0.177  0.225
6ZNTA      362  XRAY      1.96  0.178  0.211
6TD9A      250  XRAY      1.96  0.178  0.239
6TV0A      155  XRAY      1.96  0.178  0.218
3HK4A      136  XRAY      1.96  0.179   0.22
6IN7A       81  XRAY      1.96  0.179  0.201
6S22A      631  XRAY      1.96   0.18  0.216
2IU4A      336  XRAY      1.96  0.182  0.209
2JL1A      287  XRAY      1.96  0.182  0.232
4IMRA      275  XRAY      1.96  0.182  0.219
3CWWA      990  XRAY      1.96  0.183  0.208
3SHQA      320  XRAY      1.96  0.183  0.207
2X0QA      618  XRAY      1.96  0.184  0.221
6QP7A      657  XRAY      1.96  0.185  0.218
5NFJA      202  XRAY      1.96  0.186  0.206
3CAFA      100  XRAY      1.96  0.191  0.275
2V7SA      215  XRAY      1.96  0.192  0.223
3KMIA      177  XRAY      1.96  0.193  0.235
2XDHA      163  XRAY      1.96  0.193   0.23
4PK9A      373  XRAY      1.96  0.194  0.224
2DYKA      161  XRAY      1.96  0.195  0.225
3Q2OA      389  XRAY      1.96  0.197  0.235
7EXMA      278  XRAY      1.96  0.201  0.226
3PYCA      132  XRAY      1.96  0.206  0.241
6EYXA      185  XRAY      1.96  0.209  0.226
6O6YA      440  XRAY      1.96  0.211  0.255
2ZGCA      240  XRAY      1.96  0.212  0.257
4NK2A      193  XRAY      1.96  0.212   0.25
4MB0A      261  XRAY      1.96  0.213  0.264
1RHFA      182  XRAY      1.96  0.213  0.256
5HPZA      179  XRAY      1.96  0.213  0.266
3OT2A      187  XRAY      1.96  0.217  0.239
2OEEA      117  XRAY      1.96  0.218  0.249
1K7WA      468  XRAY      1.96  0.224  0.253
3GAZA      343  XRAY      1.96  0.225  0.261
2G9ZA      348  XRAY      1.96  0.236  0.236
1M5WA      243  XRAY      1.96  0.236  0.249
3UP8A      298  XRAY      1.96  0.237   0.24
2Z5BB      179  XRAY      1.96  0.242  0.287
2Z5BA      151  XRAY      1.96  0.242  0.287
1VHXA      150  XRAY      1.96  0.242   0.31
3HZHB      172  XRAY      1.96  0.248  0.259
3HZHA      157  XRAY      1.96  0.248  0.259
